Sentence	True	Predicted
#	O	O

""""	O	O

@chandan9438	O	O

:	O	O

Panchalingeswar	B-PLACE	O

temple	I-PLACE	O

,	O	O

Nilgiri	B-PLACE	O

,	O	O

Baleswar	B-PLACE	O

http://t	O	O

.	O	O

		

@MrsGandhi	O	O

@ExSecular	O	O

@sanjaynirupam	O	O

@OfficeOfRG	O	O

Pappul	B-PERSON	O

Gandhi	I-PERSON	O

ko	O	O

khush	O	O

karne	O	O

ki	O	O

chakkar	O	O

me	O	O

pagala	O	O

gaya	O	O

hai	O	O

!	O	O

Public	O	O

murakh	O	O

samaj	O	O

rakha	O	O

hai	O	O

?	O	O

		

#JusticeForJisha	O	O

ek	O	O

beti	O	O

ko	O	O

maar	O	O

diya	O	O

gaya	O	O

or	O	O

log	O	O

chup	O	O

hai	O	O

		

Gali	O	B-PERSON

Gali	O	I-PERSON

me	O	O

shor	O	O

hai	O	O

,	O	O

Gandhi	B-PERSON	O

family	O	O

chor	O	O

hai	O	O

#AugustaWestland	O	O

#GandhisAreChor	O	O

		

Chalo	O	O

akhirkaar	O	O

kal	O	O

toh	O	O

mai	O	O

trend	O	O

hojaunga	O	O

#MahaShivratri	O	O

xP	O	O

Champion	O	O

KKR	O	O

Squad	O	O

2015	O	O

		

*	O	O

JAI	O	O

SHIV	B-PERSON	O

SHANKAR	B-PERSON	O

*	O	O

Hum	O	O

Tamam	O	O

Hindu	O	O

Brothery	O	O

Ko	O	O

MAHASHIVRATRI	O	O

Ki	O	O

Lakh	O	O

Lakh	O	O

Badhai	O	O

Dete	O	O

Hain	O	O

.	O	O

By	O	O

,	O	O

RAJESH	B-PERSON	O

.	I-PERSON	O

N	I-PERSON	O

.	I-PERSON	O

KAPOOR	I-PERSON	O

ADVOCATE	O	O

,	O	O

RAJESH	B-PERSON	O

TALREJA	I-PERSON	O

		

Gaand	O	O

phatane	O	O

wali	O	O

performance	O	O

.	O	O

#IndvsPak	O	O

		

@ndtv	O	O

internal	O	O

enquiry	O	O

main	O	O

rss	B-ORGANISATION	O

ke	O	O

lov	O	O

honge	O	O

		

RT	O	O

@AksharPathak	O	O

:	O	O

Airhostess	O	O

Sonu	B-PERSON	O

Nigam	I-PERSON	O

:	O	O

""""	O	O

Kripya	O	O

dhyan	O	O

dein	O	O

.	O	O

Aapatkaleen	O	O

stithi	O	O

me	O	O

vimaan	O	O

ke	O	O

pichle	O	O

bhaag	O	O

mein	O	O

do	O	O

dwaar	O	O

mil	O	O

rahein	O	O

hain	O	O

,	O	O

ma	O	O

		

@VarshaVeta	O	O

or	O	O

baju	O	O

mein	O	O

papad	O	O

hai	O	O

		

To	O	O

sab	O	O

jagah	O	O

sey	O	O

experience	O	O

ley	O	O

liya	O	O

#aachakiya	O	O

..	O	O

ab	O	O

yahin	O	O

sey	O	O

khareedo	O	O

#flipkart	O	O

:)	O	O

		

@fateeema__	O	O

@BeelaalTariq	O	O

tmhay	O	O

abhi	O	O

bara	O	O

time	O	O

hai	O	O

:p	O	O

		

Gaya	O	O

saala	O	O

akhir	O	O

tabaahi	O	O

macha	O	O

k	O	O

!!	O	O

Pr	O	O

ab	O	O

maxwell	B-PERSON	O

		

RT	O	O

@jatanacharya	O	O

:	O	O

Two	O	O

days	O	O

before	O	O

trust	O	O

vote	O	O

,	O	O

another	O	O

bribe	O	O

video	O	O

stings	O	O

Uttarakhand	B-PLACE	B-PERSON

Cong	B-ORGANISATION	I-PERSON

via	O	O

@htTweets	O	O

https://t.co/W6AfD1DX0L	O	O

		

@vicky99564	O	O

@VivekMMisra	O	O

@OfficeOfRG	O	O

@narendramodi	O	O

@tehseenp	O	O

congress	B-ORGANISATION	O

hi	O	O

etna	O	O

gir	O	O

sakte	O	O

hai	O	O

.	O	O

Jab	O	O

Pappul	B-PERSON	O

Gandhi	I-PERSON	O

khud	O	O

hi	O	O

etna	O	O

girte	O	O

hai	O	O

to	O	O

..	O	O

		

Om	O	O

Namah	O	O

Shivay	O	O

MahaShivratri	O	O

ki	O	O

ratri	O	O

ka	O	O

samhya	O	O

aa	O	O

gaya	O	O

bhagto	O	O

.	O	O

.	O	O

Ek	O	O

baar	O	O

dil	O	O

se	O	O

bol	O	O

do	O	O

....	O	O

Har	O	O

Har	O	O

...	O	O

http://t.co/smqIXcP1hQ	O	O

		

Iss	O	O

tweet	O	O

ko	O	O

dekhte	O	O

hi	O	O

3	O	O

second	O	O

mein	O	O

RT	O	O

kare	O	O

.	O	O

Nahi	O	O

kiya	O	O

to	O	O

paap	O	O

lagela	O	O

,	O	O

aaj	O	O

Mahashivratri	O	O

ke	O	O

parv	O	O

pe	O	O

Shivji	B-PERSON	O

aapko	O	O

dand	O	O

denge	O	O

.	O	O

Jaldi	O	O

RT	O	O

kare	O	O

.	O	O

		

RT	O	O

@deepkbudki	O	O

:	O	O

Akele	O	O

hain	O	O

,	O	O

chale	O	O

Aao	O	O

jahan	O	O

ho	O	O

.	O	O

Yeh	O	O

session	O	O

aur	O	O

yeh	O	O

Modi	B-PERSON	O

,	O	O

Congress	B-ORGANISATION	O

ki	O	O

strength	O	O

hai	O	O

thori	O	O

,	O	O

chale	O	O

aao	O	O

jahan	O	O

ho	O	O

.	O	O

Singer	O	O

#SoniaG	O	O

Fil	O	O

		

#LahoreRisesAgainstCorruption	O	O

Kuch	O	O

ajeeb	O	O

charisma	O	O

hai	O	O

kaptan	O	O

mai	O	O

..	O	O

@ImranKhanPTI	O	O

""""	O	O

Aek	O	O

baar	O	O

bhi	O	O

awaz	O	O

dey	O	O

tu	O	O

raha	O	O

nahi	O	O

jata	O	O

,	O	O

Jana	O	O

eh	O	O

parta	O	O

.	O	O

""""	O	O

		

RT	O	O

@RobertVadra2016	O	O

:	O	O

RT	O	O

iamsameeranwar	O	O

:	O	O

Bjp	B-ORGANISATION	O

do	O	O

anything	O	O

for	O	O

regime	O	O

Killed	O	O

democracy	O	O

Support	O	O

godse	B-PERSON	O

and	O	O

afzal	B-PERSON	O

Spread	O	O

hate	O	O

btwn	O	O

ppl	O	O

#GodseWe	O	O

		

@AnupamPkher	O	O

@narendramodi	O	O

life	O	O

mein	O	O

kuch	O	O

bhi	O	O

ho	O	O

sakta	O	O

hai	O	O

		

RT	O	O

@vickynanjappa	O	O

:	O	O

Did	O	O

Bhatkal	B-PLACE	O

resident	O	O

fund	O	O

ISIS	B-ORGANISATION	O

through	O	O

hawala	O	O

transactions	O	O

?	O	O

https://t.co/iTvPYKXjKD	O	O

#bhatkal	O	O

via	O	O

@oneindia	O	O

		

RT	O	O

@Trendulkar	O	O

:	O	O

Nice	O	O

of	O	O

Virat	B-PERSON	B-PERSON

Kohli	I-PERSON	I-PERSON

to	O	O

run	O	O

out	O	O

Rohit	B-PERSON	O

and	O	O

take	O	O

the	O	O

Man	O	O

of	O	O

the	O	O

match	O	O

.	O	O

		

Nayanagar	B-PLACE	O

my	O	O

native	O	O

village	O	O

.	O	O

Maharudrabhishek	O	O

during	O	O

mahashivratri	O	O

.	O	O

Om	O	O

hung	O	O

yung	O	O

sah	O	O

.	O	O

Tanno	O	O

rudrah	O	O

prachodayat	O	O

.	O	O

Shivayae	O	O

namah	O	O

.	O	O

		

@Themangofellow	O	O

kya	O	O

ba	O	O

thera	O	O

Eq	O	O

slow	O	O

hogaya	O	O

..	O	O

Hahaha	O	O

		

Doval	B-PERSON	O

na	O	O

hota	O	O

to	O	O

West	B-PLACE	O

Bengal	I-PLACE	O

me	O	O

Ho	O	O

jurm	O	O

kar	O	O

rahe	O	O

hai	O	O

wo	O	O

Sab	O	O

jagah	O	O

hota	O	O

https://t.co/gpzV3SkEax	O	O

		

Chief	O	O

Minister	O	O

Shivraj	B-PERSON	O

Singh	I-PERSON	O

Chouhan	I-PERSON	O

and	O	O

his	O	O

wife	O	O

Sadhana	B-PERSON	O

Singh	I-PERSON	O

performed	O	O

PujaMahashivratri	O	O

http://t.co/BXgV8ch7Zy	O	O

		

@Umairrow	O	O

the	O	O

guy's	O	O

like	O	O

a	O	O

deisel	O	O

engine	O	O

		

@samarjeet_n	O	O

Mahashivratri	O	O

ki	O	O

bela	O	O

me	O	O

prarthana	O	O

hai	O	O

SHIV	B-PERSON	O

JI	O	O

SABKA	O	O

KALYAAN	O	O

KAREN	O	O

,	O	O

Its	O	O

a	O	O

spiritual	O	O

day	O	O

of	O	O

worship	O	O

n	O	O

prayer	O	O

for	O	O

us	O	O

		

RT	O	O

@prateekharsh9	O	O

:	O	O

@sevaknamo	O	O

kishan	O	O

ko	O	O

toh	O	O

jete	O	O

ji	O	O

mar	O	O

doge	O	O

tmlog	O	O

#LandAcquisitionBill	O	O

p	O	O

asa	O	O

ordinanc	O	O

laye	O	O

ho	O	O

k	O	O

kisi	O	O

ka	O	O

bhi	O	O

jameen	O	O

cheen	O	O

l	O	O

		

Agar	O	O

India	B-PLACE	O

Ye	O	O

Match	O	O

Nahin	O	O

Jeeta	O	O

To	O	O

Suicide	O	O

Kar	O	O

Lunga	O	O

BC	O	O

:D	O	O

#IndvsPak	O	O

		

Heartiest	O	O

#Congratulations	O	O

to	O	O

#winners	O	O

.	O	O

#drortho	O	O

#WC15	O	O

#IndvsSA	O	O

Match	O	O

Contest	O	O

#drorthooil	O	O

,	O	O

Ab	O	O

Dard	O	O

bhi	O	O

ghutne	O	O

tekega	O	O

.	O	O

http://t.co/XmNEHf6twP	O	O

		

@ravishndtv	O	O

ravish	B-PERSON	O

BHAI	O	O

ye	O	O

Nitin	O	O

pai	O	O

ko	O	O

kis	O	O

jangal	O	O

se	O	O

pakad	O	O

Ke	O	O

laye	O	O

ho	O	O

,	O	O

uppar	O	O

Ka	O	O

hissa	O	O

bilkul	O	O

gayab	O	O

hi	O	O

,	O	O

		

Maneesh	B-PERSON	O

sharma	I-PERSON	O

is	O	O

not	O	O

a	O	O

fan	O	O

of	O	O

Srk	B-PERSON	O

.	O	O

#FanReview	O	O

		

Syed	B-PERSON	O

Ali	I-PERSON	O

Shah	I-PERSON	O

Geelani	I-PERSON	O

shouts	O	O

'	O	O

Pakistan	B-PLACE	B-PERSON

Zindabad	O	I-PERSON

'	O	O

slogans	O	O

in	O	O

India	B-PLACE	B-PLACE

!!	O	O

Sad	O	O

@narendramodi	O	O

is	O	O

silent	O	O

!!	O	O

#MahaShivratri	O	O

https://t.co/wq73iDxa5T	O	O

		

@IndiaToday	O	O

and	O	O

I	O	O

like	O	O

RSS	B-ORGANISATION	O

now	O	O

.	O	O

truth	O	O

spoken	O	O

.	O	O

caste	O	O

based	O	O

#reservation	O	O

to	O	O

be	O	O

abolished	O	O

		

#PrabhuKiRail	O	O

&	O	O

Ramdev	B-PERSON	B-PERSON

Baba	I-PERSON	I-PERSON

#RailBudget2015	O	O

Yoga	O	O

training	O	O

will	O	O

be	O	O

given	O	O

to	O	O

railway	O	O

guards	O	O

.	O	O

		

""""	O	O

@sonalSalmanK	O	O

:	O	O

SA	O	O

this	O	O

time	O	O

India	B-PLACE	O

didn't	O	O

waste	O	O

opportunity	O	O

.	O	O

Chauka	O	O

bhi	O	O

laga	O	O

aur	O	O

mauka	O	O

bhi	O	O

le	O	O

kiya	O	O

#IndvsSA	O	O

""""	O	O

		

RT	O	O

@AIMIM_faraaz	O	O

:	O	O

Live	O	O

:	O	O

Asaduddin	B-PERSON	O

Owaisi	I-PERSON	O

announced	O	O

participation	O	O

in	O	O

#Bihar	O	O

Elections	O	O

@asadowaisi	O	O

http://t.co/mvri1yUf9H	O	O

@AimimFansClub	O	O

@ru	O	O

		

Train	O	O

ke	O	O

andar	O	O

bhi	O	O

do	O	O

!	O	O

@ANI_news	O	O

In	O	O

400	O	O

stations	O	O

wi-fi	O	O

facility	O	O

will	O	O

be	O	O

provided	O	O

:	O	O

Suresh	B-PERSON	B-PERSON

Prabhu	I-PERSON	I-PERSON

,	O	O

Rail	O	O

Min	O	O

#RailBudget2015	O	O

		

#IBleedGreen	O	O

inshaALLAH	O	O

aaj	O	O

hamaray	O	O

fast	O	O

bowlers	O	O

kamal	O	O

kar	O	O

dikhayengay	O	O

		

RT	O	O

Kaushik22R	O	O

:	O	O

Jo	O	O

Guru	O	O

hi	O	O

vo	O	O

hi	O	O

Shiv	B-PERSON	O

hai	O	O

is	O	O

nimita	O	O

#Rudrabhishekh	O	O

kia	O	O

#MahaShivratri	O	O

ashramindia	O	O

TruthRoars	O	O

14FebP	O	O

http://t.co/HmPNQhRJvS	O	O

		

justrichpro	O	O

ordered	O	O

""""	O	O

setup	O	O

and	O	O

fix	O	O

Google	B-ORGANISATION	O

Search	O	O

Console	O	O

issues	O	O

""""	O	O

for	O	O

$5	O	O

on	O	O

Fiverr	O	O

https://t.co/Th9C3NRNga	O	O

https://t.co/f9jiIHm5WQ	O	O

		

Clash	O	O

with	O	O

Salman	B-PERSON	O

Khans	I-PERSON	O

Sultan	O	O

is	O	O

suicide	O	O

|	O	O

via	O	O

@indiacom	O	O

https://t.co/4Cm7nZQG8E	O	O

Je	O	O

baat	O	O

		

@virendra1602	O	O

Kisi	O	O

ne	O	O

Rajya	B-PLACE	O

Sabha	I-PLACE	O

main	O	O

Ye	O	O

bola	O	O

hai	O	O

...	O	O

:)	O	O

		

Indianfans	O	O

aa	O	O

majaaaka	O	O

...	O	O

Biggest	O	O

support	O	O

to	O	O

the	O	O

team	O	O

..	O	O

lifts	O	O

the	O	O

morale	O	O

soo	O	O

soo	O	O

high	O	O

:)	O	O

#cwc15	O	O

#IndvsSA	O	O

		

We	O	O

expect	O	O

greater	O	O

things	O	O

from	O	O

@ArvindKejriwal	O	O

.	O	O

@narendramodi	O	O

Rahul	B-PERSON	O

Gandhi	I-PERSON	O

		

@Gurmeetramrahim's	O	O

account	O	O

has	O	O

been	O	O

withheld	O	O

in	O	O

India	B-PLACE	O

in	O	O

response	O	O

to	O	O

a	O	O

legal	O	O

demand	O	O

.	O	O

Learn	O	O

more	O	O

.	O	O

		

#MahaShivratri	O	O

Nazeer	B-PERSON	O

Akbarabadi	I-PERSON	O

ka	O	O

Shivji	B-PERSON	O

ke	O	O

Byah/Mahadevju	O	O

ke	O	O

Byah	O	O

kisi	O	O

k	O	O

paas	O	O

miley	O	O

to	O	O

pls	O	O

share	O	O

kijiye	O	O

.	O	O

Thanks	O	O

		

Rohit	B-PERSON	O

Sharma	I-PERSON	O

ji	O	O

apna	O	O

rang	O	O

dikhate	O	O

huye	O	O

..	O	O

#Ind	O	O

vs	O	O

NZ	O	O

		

@SirPareshRawal	O	O

sir	O	O

,	O	O

jahan	O	O

aap	O	O

jaise	O	O

behtareen	O	O

&	O	O

adbhut	O	O

actor	O	O

hon	O	O

...	O	O

vo	O	O

planet	O	O

hell	O	O

toh	O	O

ho	O	O

hi	O	O

nahi	O	O

sakta	O	O

..	O	O

		

RT	O	O

PraveenraoU	O	O

:	O	O

#Karnataka	O	O

:	O	O

#MahaShivratri	O	O

Rathotsava	O	O

in	O	O

Badami	B-PLACE	B-PLACE

,	O	O

Hubballi	B-PLACE	O

&	O	O

Tumakuru	B-PLACE	O

->	O	O

http://t.co/5zoV7zzgmd	O	O

		

Mandir	O	O

ki	O	O

ghanti	O	O

,	O	O

Arti	O	O

ki	O	O

thali	O	O

,	O	O

Nadi	O	O

k	O	O

kinare	O	O

suraj	O	O

ki	O	O

lali	O	O

,	O	O

Jindige	O	O

me	O	O

aye	O	O

khushiyo	O	O

ki	O	O

bahar	O	O

,	O	O

Apko	O	O

mubarak	O	O

ho	O	O

...	O	O

https://t.co/uNrDMwGKzN	O	O

		

#RailBudget2015	O	O

Kudos	O	O

to	O	O

sureshpprabhu	B-PERSON	O

&	O	O

narendramodi	B-PERSON	O

keep	O	O

up	O	O

on	O	O

#LAB	O	O

and	O	O

#Budget2015	O	O

#bigontop	O	O

		

RT	O	O

@CricBellz	O	O

:	O	O

Khurram	B-PERSON	B-PERSON

Manzoor	I-PERSON	I-PERSON

again	O	O

confusing	O	O

the	O	O

hell	O	O

out	O	O

of	O	O

Inzi	B-PERSON	O

and	O	O

Co	O	O

.	O	O

Lolz	O	O

#PakistanCup	O	O

		

Aesyy	O	O

tweets	O	O

ki	O	O

wajh	O	O

se	O	O

he	O	O

tu	O	O

zindaa	O	O

hain	O	O

https://t.co/3oYvLQDtBC	O	O

		

AB	O	O

daa	O	O

villain	O	O

.	O	O

kub	O	O

ayeee	O	O

gaaa	O	O

!	O	O

#PakvSA	O	O

#CWC2015	O	O

		

Astrologer	O	O

Sidharth	B-PERSON	O

On	O	O

Mahashivratri	O	O

with	O	O

RJ	O	O

Rohit	B-PERSON	O

Kullad	I-PERSON	O

as	O	O

big	O	O

jyotish	O	O

guru	O	O

@	O	O

92.7	B-ORGANISATION	O

Big	I-ORGANISATION	O

FM	I-ORGANISATION	O

by	O	O

Astrologer	O	B-PLACE

S	O	I-PLACE

http://t.co/bv2yLRU8O8	O	O

		

@gurmeetramrahim	O	O

#MSGHumanityCamps	O	O

Dhan	O	O

Dhan	O	O

Satguru	B-PERSON	O

Tera	O	O

Hi	O	O

Aasra	O	O

Papa	O	O

G	O	O

		

RT	O	O

@GauravPandhi	O	O

:	O	O

Savarkar	B-PERSON	O

didn't	O	O

kill	O	O

Gandhi	B-PERSON	O

Nehru	B-PERSON	O

was	O	O

not	O	O

the	O	O

first	O	O

PM	O	O

Like	O	O

,	O	O

Modi	B-PERSON	O

is	O	O

a	O	O

post-graduate	O	O

Global	O	O

warming	O	O

doesn't	O	O

exist	O	O

https	O	O

		

RT	O	O

@indiantweeter	O	O

:	O	O

@buzzindelhi	O	O

Jaya	B-PERSON	O

Bachchan	I-PERSON	O

was	O	O

disqualified	O	O

from	O	O

Rajyasabha	B-ORGANISATION	O

and	O	O

Sonia	B-PERSON	O

gandhi	I-PERSON	O

had	O	O

to	O	O

resign	O	O

from	O	O

several	O	O

posts	O	O

.	O	O

AAP	B-ORGANISATION	O

MLAs	O	O

		

Jai	O	O

bhole	O	O

Happy	O	O

mahashivratri	O	O

to	O	O

all	O	O

Missing	O	O

u	O	O

bhaiyon	O	O

Dubstep	O	O

bna	O	O

ra	O	O

hun	O	O

Iss	O	O

bar	O	O

bhai	O	O

ka	O	O

gaana	O	O

sun	O	O

na	O	O

		

RT	O	O

@KejriTrolls	O	O

:	O	O

Modi	B-PERSON	O

ji	O	O

,	O	O

aapne	O	O

kisi	O	O

aur	O	O

ko	O	O

exam	O	O

likhne	O	O

bheja	O	O

hoga	O	O

.	O	O

Syllabus	O	O

se	O	O

kuch	O	O

sawaal	O	O

mein	O	O

poonchu	O	O

toh	O	O

ans	O	O

de	O	O

paaoge	O	O

aap	O	O

?	O	O

Bolo	O	O

bolo	O	O

..	O	O

		

#Theri	O	O

in	O	O

Telugu	O	O

|	O	O

#Police	O	O

:	O	O

Raangu	O	O

Video	O	O

Song	O	O

:	O	O

https://t.co/0Sq9OcQiqz	O	O

https://t.co/5KRrhSFiqV	O	O

		

@typerioter	O	O

after	O	O

this	O	O

month	O	O

,	O	O

it's	O	O

Shaban	B-PERSON	O

,	O	O

Rajab	B-PERSON	O

and	O	O

holy	O	O

month	O	O

Ramadan	O	O

		

Why	O	O

you	O	O

people	O	O

gives	O	O

whole	O	O

credit	O	O

to	O	O

Ambedkar	B-PERSON	O

ji	O	O

only	O	O

for	O	O

sanvidhaan	O	O

.	O	O

		

RT	O	O

@Funny_Truth	O	O

:	O	O

30	O	O

day	O	O

ab	O	O

challenge	O	O

http://t.co/9c655DnW5G	O	O

		

RT	O	O

@Fataxaleem	O	O

:	O	O

Sahi	O	O

mai	O	O

yr	O	O

kohli	B-PERSON	O

best	O	O

banda	O	O

hai	O	O

		

Time	O	O

travel	O	O

kaise	O	O

kiya	O	O

@BhayanakPuppy	O	O

		

@KapoorMaahi	O	O

yeh	O	O

gareeb	O	O

ka	O	O

majak	O	O

bana	O	O

rahe	O	O

hai	O	O

....	O	O

Gareeb	O	O

kaha	O	O

sei	O	O

paisa	O	O

layega	O	O

...	O	O

saara	O	O

paisa	O	O

toe	O	O

Indira	B-PERSON	O

and	O	O

Rajiv	B-PERSON	O

Gandhi	I-PERSON	O

loot	O	O

lete	O	O

thei	O	O

		

Padmashree	O	O

@ajaydevgn	O	O

&	O	O

Padmashree	O	B-PERSON

Kajol	B-PERSON	I-PERSON

are	O	O

brand	O	O

ambassadors	O	O

of	O	O

Andhra	B-PLACE	B-PERSON

Pradesh	I-PLACE	I-PERSON

state	O	O

Tourism	O	O

.	O	O

Congratulations	O	O

.	O	O

https://t.co/9oJtqsQERr	O	O

		

Satya	O	O

vachan	O	O

#Satya	O	O

vachan	O	O

.........	O	O

(	O	O

Y	O	O

)	O	O

Salute	O	O

and	O	O

hats	O	O

off	O	O

Mithun	B-PERSON	O

daa	O	O

...	O	O

In	O	O

your	O	O

words	O	O

....	O	O

KYA	O	O

BAAT	O	O

KYA	O	O

BAAT	O	O

KYA	O	O

...	O	O

http://t.co/V7EPdmEe6H	O	O

		

RT	O	O

@mylifeasadesi1	O	O

:	O	O

Robbinsville	B-PERSON	B-PERSON

Akshardham	I-PERSON	I-PERSON

in	O	O

New	B-PLACE	O

Jersey	I-PLACE	O

https://t.co/R9x81R8uUd	O	O

		

RT	O	O

@YyoungDesi	O	O

:	O	O

They	O	O

:	O	O

Yeh	O	O

Feeya	B-PERSON	O

Sy	O	O

Koi	O	O

Masla	O	O

Hay	O	O

Ya	O	O

Uski	O	O

Team	O	O

Say	O	O

?	O	O

Me	O	O

:	O	O

Feeya	B-PERSON	O

Shadoli	I-PERSON	O

Ka	O	O

Dinga	O	O

Naak	O	O

Dekh	O	O

Kar	O	O

Hoodnay	O	O

Ka	O	O

Dill	O	O

Kar	O	O

jata	O	O

Zaa	O	O

		

@kanimozhi	O	O

@khushsundar	O	O

@kapil_kausik	O	O

@mayuranit	O	O

@Sahadev214	O	O

Poor	O	O

sundae	O	O

?	O	O

Pity	O	O

him	O	O

!	O	O

		

@saurabhraajjain	O	O

Happy	O	O

Mahashivratri	O	O

Saurabhraaj	B-PERSON	O

Sir	O	O

.	O	O

Stay	O	O

Blessed	O	O

.	O	O

Hara	O	O

Hara	O	O

Mahadev	B-PERSON	O

.	O	O

http://t.co/a40oFgtYE5	O	O

		

Superstar	O	O

Rajinikanth's	B-PERSON	O

Next	O	O

Film	O	O

With	O	O

Director	O	O

Ranjith	B-PERSON	O

-	O	O

Thanthi	B-ORGANISATION	O

TV	I-ORGANISATION	O

-	O	O

TamilTwin	O	B-PERSON

http://t.co/NPUYvt4YyP	O	O

		

Ya	O	O

Allah	O	O

hamain	O	O

yeah	O	O

Iman	O	O

naseeb	O	O

farma	O	O

Ameen	O	B-PLACE

https://t.co/R8m25B81iZ	O	O

		

RT	O	O

@KPonRise	O	O

:	O	O

Site	O	O

inauguration	O	O

of	O	O

Pak-Austria	B-PLACE	O

Fachhochschule	O	O

:	O	O

Institute	O	O

of	O	O

applied	O	O

sciences	O	O

&	O	O

tech	O	O

,	O	O

Uni	O	O

of	O	O

Haripur	B-PLACE	O

.	O	O

#KPonRise	O	O

https://t.co	O	O

		

#MahaShivratri	O	O

hiduo	O	O

ke	O	O

raja	O	O

sree	O	O

ram	B-PERSON	O

ji	O	O

bhi	O	O

shankar	B-PERSON	O

ji	O	O

ke	O	O

pukarne	O	O

se	O	O

dharti	O	O

par	O	O

janm	O	O

lete	O	O

he	O	O

,	O	O

un	O	O

shankar	B-PERSON	O

ke	O	O

charno	O	O

me	O	O

mastak	O	O

nabhata	O	O

hu	O	O

		

RT	O	O

@11AshokaRoad	O	O

:	O	O

Lady	O	O

sitting	O	O

here	O	O

with	O	O

Satish	B-PERSON	O

Upadhyay	I-PERSON	O

is	O	O

Rakhi	B-PERSON	B-PERSON

Birla's	I-PERSON	I-PERSON

sister-in-law	O	O

.	O	O

BJP	B-ORGANISATION	O

is	O	O

using	O	O

media	O	O

to	O	O

make	O	O

AAP	B-ORGANISATION	O

a	O	O

soft	O	O

target	O	O

!	O	O

http	O	O

		

RT	O	O

@TamalDas8	O	O

:	O	O

airnewsalerts	O	O

:	O	O

RT	O	O

RailMinIndia	B-ORGANISATION	O

:	O	O

Putting	O	O

the	O	O

final	O	O

touches	O	O

to	O	O

#RailBudget2015	O	O

:	O	O

MR	O	O

sureshpprabhu	B-PERSON	O

.!	O	O

http://t.co/SFsUVU5BY2	O	O

#UHF	O	O

		

RT	O	O

@warispathan	O	O

:	O	O

MIM	O	O

MLAs	O	O

waris	O	O

pathan	O	O

and	O	O

imtiyaz	O	O

jaleel	O	O

on	O	O

Tuesday	O	O

met	O	O

the	O	O

newly	O	O

appointed	O	O

Mumbai	B-PLACE	O

police	O	O

commissioner	O	O

ahmed	B-PERSON	O

...	O	O

http://t.c	O	O

		

RT	O	O

@ErMki7	O	O

:	O	O

@lksinsa	O	O

@vbvinsa	O	O

can	O	O

